radius wavgoffset meanoffset varoffset wavg mean
5 1.09305910604 -0.872379151234 2.53842591997 14.0264597762 16.1060412371
10 1.48000063789 -0.466232808335 2.47584839649 13.6385560074 15.6998948943
15 0.0 0.0 0.0 13.5847699491 15.5166021911
18 1.56764018855 -0.177810516113 2.37154068275 13.5755375757 15.411472602
20 0.0 0.0 0.0 13.5756208146 15.3405468257
22 0.0 0.0 0.0 13.577408685 15.2719105365
24 0.0 0.0 0.0 13.5807606251 15.2027280443
28 1.65110262333 0.174829121811 2.77411902952 13.5867394657 15.0588329641
