radius wavgoffset meanoffset varoffset wavg mean
5 -0.224322736501 -1.92466166391 2.43480379314 15.3219383127 17.1270674873
10 0.179379651379 -1.52299256459 2.38617946759 14.9039948251 16.725398388
15 0.290081322035 -1.34201304321 2.33404424246 14.8333632535 16.5444188666
18 0.311606990365 -1.2370899622 2.30823545455 14.8210822154 16.4394957856
20 0.354119294749 -1.16587614109 2.2999335868 14.8178171125 16.3682819644
22 0.338059676728 -1.09397708457 2.27669582762 14.8167712929 16.2963829079
24 0.372935073635 -1.02402229061 2.46335860471 14.8163275948 16.226428114
28 0.378907210527 -0.878465937705 2.39828033397 14.8173832506 16.0808717611
