radius wavgoffset meanoffset varoffset wavg mean
5 1.51917308279 -0.432720564601 2.57898218326 13.588835443 15.6950661627
10 1.9062932728 -0.0390581764996 2.51273796653 13.182877898 15.3014037746
15 2.05890968274 0.142231532389 2.4635227877 13.1181129646 15.1201140657
18 2.07903393124 0.246638577571 2.4308114396 13.1063615497 15.0157070205
20 2.09900222329 0.317154620427 2.41257227483 13.1056093562 14.9451909777
22 0.0 0.0 0.0 13.108174624 14.8741803101
24 0.0 0.0 0.0 13.1088377942 14.8027373921
28 2.15711213106 0.600103383379 2.57337919128 13.1167613846 14.6622422147
