radius wavgoffset meanoffset varoffset wavg mean
3 -0.937711123217 -2.67242354242 3.29145538486 16.2537390377 18.4221533374
5 -0.382942697279 -2.19712082831 3.26384598775 15.5241909596 17.9468506232
8 -0.158962488248 -1.98872943305 3.2072775287 15.1066497431 17.738459228
12 -0.183527296826 -1.8892535183 3.1671554074 14.8841184869 17.6389833132
15 -0.0854051462175 -1.85005701649 3.20131557738 14.8144453902 17.5997868114
18 -0.170801124977 -1.82139762766 3.16788899832 14.7468038468 17.5711274226
20 -0.114575854347 -1.80592645758 3.21683196741 14.7115087486 17.5556562525
21 0.253027876904 -1.79902119019 3.27439947127 14.7063663095 17.5487509851
23 0.184782594989 -1.80180076397 4.57826782158 14.6595006783 17.5515305589
25 0.231622381001 -1.7900327302 4.57179360894 14.6392641804 17.5397625251
27 0.455529362263 -1.79481351025 5.90638929549 14.6396244489 17.5445433052
