radius wavgoffset meanoffset varoffset wavg mean

J
5 -0.684040708471 -3.28827171988 2.52827886037 15.3782744547 18.6451513308
10 -0.341052257394 -2.88787892343 2.98649278547 14.955164805 18.2447585343
15 -0.280993659474 -2.91854165025 17.6242623229 14.8737241082 18.2754212611
18 -0.269046509948 -3.03650179933 34.533449316 14.8518025565 18.3933814102
20 -0.266059246067 -3.10941622159 45.5405990394 14.8454147179 18.4662958325
22 -0.266931589468 -3.16666552893 55.4264556442 14.8443070376 18.5235613578
24 -0.269754328418 -3.21480653327 64.8146785065 14.8457865159 18.5718028418
28 -0.279136024149 -3.23683651077 77.6460568378 14.8587082861 18.5937807793
30 -0.286032319313 -3.23076874855 82.7388963379 14.8697739522 18.5877158335
32 -0.292837021888 -3.23524035757 88.808578654 14.8817138487 18.5921903063
34 -0.300352494529 -3.2127187252 92.638946564 14.8960191255 18.5696480743
36 -0.307999756348 -3.17479294275 95.168699363 14.9101477032 18.531717965
38 -0.315554954483 -3.11976088798 96.2073789222 14.9275695872 18.476750972
40 -0.323199778502 -3.06617238873 97.3098053547 14.9421030764 18.4232078269
42 -0.331073849769 -3.03017817937 99.8006417385 14.9605015678 18.387157963
44 -0.33848679773 -2.97813227035 100.831659271 14.9778841045 18.3351100921
46 -0.345321896846 -2.92407497994 101.590278566 14.9975632043 18.2810984332
48 -0.35115800906 -2.87961377078 103.130543654 15.0142091168 18.2365911911
50 -0.356709055073 -2.83531075846 104.554610077 15.0337299259 18.1922986391
STOP_J

Ks
5 0.781235241219 -1.92190586012 2.39065149242 13.6339753844 17.363060859
10 1.11653017896 -1.51355627432 3.2390044055 13.2290394971 16.9547112732
15 1.17671188718 -1.54000485105 19.5708069662 13.1564227398 16.9811501665
18 1.19371906702 -1.63856791702 36.262823985 13.1388712189 17.0797180722
20 1.20067158676 -1.7274576681 49.5881892695 13.1346697994 17.1686064904
22 1.20349873802 -1.77858186409 59.8453175435 13.1347709311 17.2197129677
24 1.20460705619 -1.84850396469 71.9433471857 13.1376099898 17.2896332817
28 1.20271795885 -1.87226412494 86.5421238786 13.1524617923 17.3134541148
30 1.19767797135 -1.84190822653 90.3211965729 13.1656596816 17.2830903725
32 1.19439891912 -1.81855014356 94.7122586011 13.1784098899 17.2597429256
34 1.1886831238 -1.78379447467 98.1287248224 13.1958348393 17.2250340039
36 1.18279472583 -1.7255957258 99.5093567965 13.2112137429 17.1668526967
38 1.17691654573 -1.65787692062 99.9676634735 13.2321025065 17.0991585244
40 1.17054242774 -1.59637009341 100.854674744 13.2523600018 17.0376367947
42 1.16533716319 -1.53956092236 102.060873151 13.2729976243 16.9808217167
44 1.1589890221 -1.48650022487 103.441485228 13.2939621966 16.9278167099
46 1.15299059601 -1.42767690345 104.220329422 13.31584337 16.8689555168
48 1.1486524709 -1.36285516806 104.411652696 13.338858427 16.8041762883
50 1.14451170692 -1.29148383802 103.88432938 13.3597164118 16.7328043618
STOP_Ks

H
5 0.373462947889 -2.30282964724 2.35412818344 14.0652672855 17.7265433451
10 0.712344936145 -1.89896847031 3.71212097031 13.6766746047 17.3226821682
15 0.774804968333 -2.07147113606 31.0201819509 13.6124743812 17.4951848339
18 0.792639671862 -2.33419772586 60.5307887578 13.5933842066 17.7578985769
20 0.797378120306 -2.50446294411 79.9332898807 13.5909367748 17.9281799307
22 0.799772088008 -2.65064690594 97.4598784576 13.5896579862 18.0743759171
24 0.80000185942 -2.76084307244 112.172844807 13.5951624495 18.1846045763
28 0.794711934288 -2.91931792009 136.753787692 13.6106914453 18.3430985037
30 0.790850465098 -2.97169901894 146.931900466 13.6218565579 18.3955343875
32 0.785814034396 -2.99982012979 155.084587481 13.6349171882 18.4236708284
34 0.779522729931 -3.00746870408 161.512613788 13.6501318391 18.4313283625
36 0.774266280978 -3.01301081696 167.769214226 13.6656800829 18.4368420637
38 0.767502740046 -2.99570396339 172.038084116 13.6836128496 18.4195347679
40 0.7615571037 -2.98255392232 176.602260534 13.7028841592 18.406389962
42 0.754967004548 -2.96735904053 180.94145784 13.7227359429 18.391205913
44 0.749736744136 -2.9442028876 184.511687655 13.7425729884 18.3680250731
46 0.743797911447 -2.90673780385 186.873574326 13.7623148799 18.330564432
48 0.739127478676 -2.86022532271 188.417241891 13.7828034062 18.2840921422
50 0.734413666663 -2.80235699314 188.924762257 13.8050477157 18.2261875131
STOP_H




