ra dec j_m j_cmsig j_msigcom j_snr h_m h_cmsig h_msigcom h_snr k_m k_cmsig k_msigcom k_snr rd_flg dist angle j_h h_k j_k
76.050368 25.026562 16.615 0.118 0.119 8.4 16.04 0.170 0.170 6.3 15.646 0.186 5.7 BCC 222 500.465422 180.090375 0.5750 0.3940 0.9690
76.074007 25.02434 17.122 0.201 0.201 5.3 16.186 0.196 0.196 5.5 15.257 0.123 8.2 CCB 222 514.153713 171.463292 0.9360 0.9290 1.8650
75.975445 25.031094 16.165 0.082 0.083 12.8 15.4 0.102 0.102 11.4 15.324 0.134 7.7 AAB 222 542.630399 206.861495 0.7650 0.0760 0.8410
75.817837 25.028837 16.856 0.159 0.160 6.8 16.078 0.196 0.196 5.9 15.457 0.162 6.8 CCC 222 904.552445 237.0781 0.7780 0.6210 1.3990
75.975445 25.031094 16.165 0.082 0.083 12.8 15.4 0.102 0.102 11.4 15.324 0.134 7.7 AAB 222 542.630399 206.861495 0.7650 0.0760 0.8410
76.148009 25.02487 15.55 0.056 0.058 23.3 14.858 0.081 0.082 16.4 14.698 0.081 14.7 AAA 222 597.853773 147.897534 0.6920 0.1600 0.8520
75.913181 25.018351 16.208 0.096 0.097 12.3 15.347 0.102 0.102 11.6 15.076 0.126 9.7 AAB 222 694.03063 220.238567 0.8610 0.2710 1.1320
76.012535 25.024158 15.137 0.046 0.048 32.9 14.669 0.058 0.059 22.4 14.579 0.061 15.3 AAA 222 524.033378 193.710377 0.4680 0.0900 0.5580
76.044098 25.028868 14.161 0.034 0.036 80.9 13.268 0.033 0.034 81.6 12.989 0.024 66.2 AAA 222 492.620873 182.471357 0.8930 0.2790 1.1720
75.975445 25.031094 16.165 0.082 0.083 12.8 15.4 0.102 0.102 11.4 15.324 0.134 7.7 AAB 222 542.630399 206.861495 0.7650 0.0760 0.8410
76.062241 25.020164 12.556 0.028 0.030 354.8 12.198 0.032 0.033 218.6 12.012 0.024 162.8 AAA 222 524.869173 175.854519 0.3580 0.1860 0.5440
76.187001 25.021486 16.977 0.159 0.159 6.3 15.904 0.173 0.173 6.3 15.664 0.175 6.0 CCC 222 683.239347 139.367741 1.0730 0.2400 1.3130
76.283409 25.022545 16.511 0.118 0.119 9.3 15.852 0.176 0.176 6.6 15.238 0.118 8.9 BCB 222 917.162837 124.105572 0.6590 0.6140 1.2730
76.254841 25.025089 16.102 0.085 0.086 13.5 15.617 0.126 0.126 8.2 15.061 0.106 10.5 ABA 222 836.138501 127.177204 0.4850 0.5560 1.0410
76.148009 25.02487 15.55 0.056 0.058 23.3 14.858 0.081 0.082 16.4 14.698 0.081 14.7 AAA 222 597.853773 147.897534 0.6920 0.1600 0.8520
75.898616 25.02552 15.584 0.056 0.057 21.8 14.785 0.069 0.070 19.5 14.438 0.061 17.4 AAA 222 706.95069 224.534224 0.7990 0.3470 1.1460
75.865909 25.027077 15.489 0.055 0.056 23.8 14.645 0.057 0.058 22.2 14.399 0.061 18.1 AAA 222 781.792542 230.412817 0.8440 0.2460 1.0900
76.125434 25.030615 13.325 0.028 0.030 180.9 12.705 0.030 0.031 119.4 12.534 0.025 107.8 AAA 222 543.670027 153.32513 0.6200 0.1710 0.7910
75.834977 25.028267 15.605 0.067 0.069 21.4 15.004 0.083 0.083 15.9 14.857 0.098 11.8 AAA 222 859.392573 234.931801 0.6010 0.1470 0.7480
76.283409 25.022545 16.511 0.118 0.119 9.3 15.852 0.176 0.176 6.6 15.238 0.118 8.9 BCB 222 917.162837 124.105572 0.6590 0.6140 1.2730
76.230182 25.021931 16.688 0.134 0.135 8.2 16.288 0.215 0.215 4.4 15.892 0.207 4.9 BDD 222 781.135973 131.416846 0.4000 0.3960 0.7960
76.283409 25.022545 16.511 0.118 0.119 9.3 15.852 0.176 0.176 6.6 15.238 0.118 8.9 BCB 222 917.162837 124.105572 0.6590 0.6140 1.2730
76.148009 25.02487 15.55 0.056 0.058 23.3 14.858 0.081 0.082 16.4 14.698 0.081 14.7 AAA 222 597.853773 147.897534 0.6920 0.1600 0.8520
76.050368 25.026562 16.615 0.118 0.119 8.4 16.04 0.170 0.170 6.3 15.646 0.186 5.7 BCC 222 500.465422 180.090375 0.5750 0.3940 0.9690
75.898616 25.02552 15.584 0.056 0.057 21.8 14.785 0.069 0.070 19.5 14.438 0.061 17.4 AAA 222 706.95069 224.534224 0.7990 0.3470 1.1460
75.983265 25.027695 14.506 0.037 0.039 58.9 13.562 0.035 0.036 62.2 13.277 0.027 50.8 AAA 222 542.773393 203.87433 0.9440 0.2850 1.2290
75.865909 25.027077 15.489 0.055 0.056 23.8 14.645 0.057 0.058 22.2 14.399 0.061 18.1 AAA 222 781.792542 230.412817 0.8440 0.2460 1.0900
76.057489 25.026707 16.222 0.095 0.096 12.1 15.652 0.120 0.121 9.1 15.464 0.157 6.8 ABC 222 500.445556 177.430072 0.5700 0.1880 0.7580
75.865909 25.027077 15.489 0.055 0.056 23.8 14.645 0.057 0.058 22.2 14.399 0.061 18.1 AAA 222 781.792542 230.412817 0.8440 0.2460 1.0900
75.82353 25.030594 15.008 0.053 0.055 37.1 14.564 0.061 0.061 23.9 14.365 0.072 18.6 AAA 222 885.548022 236.766517 0.4440 0.1990 0.6430
76.254841 25.025089 16.102 0.085 0.086 13.5 15.617 0.126 0.126 8.2 15.061 0.106 10.5 ABA 222 836.138501 127.177204 0.4850 0.5560 1.0410
76.280076 25.025541 16.554 0.125 0.126 8.9 16.325 null null null 15.557 null null BUU 200 902.112211 123.927203 - - -
76.110783 25.02742 16.333 0.103 0.103 11.3 15.604 0.117 0.117 8.3 15.458 0.150 7.3 ABB 222 534.664838 158.462222 0.7290 0.1460 0.8750
76.21642 25.032822 16.92 0.142 0.143 6.6 16.121 0.204 0.204 5.1 16.222 null null CCU 220 721.534606 131.446296 0.7990 - -
76.074007 25.02434 17.122 0.201 0.201 5.3 16.186 0.196 0.196 5.5 15.257 0.123 8.2 CCB 222 514.153713 171.463292 0.9360 0.9290 1.8650
76.283409 25.022545 16.511 0.118 0.119 9.3 15.852 0.176 0.176 6.6 15.238 0.118 8.9 BCB 222 917.162837 124.105572 0.6590 0.6140 1.2730
75.9348 25.029354 16.525 0.114 0.114 9.2 15.995 0.167 0.167 6.4 15.722 0.200 5.3 BCC 222 618.912236 217.616115 0.5300 0.2730 0.8030
75.998278 25.027084 16.643 0.122 0.122 8.2 16.111 0.164 0.164 6.0 15.795 0.205 5.0 BCD 222 526.968049 198.901427 0.5320 0.3160 0.8480
76.110783 25.02742 16.333 0.103 0.103 11.3 15.604 0.117 0.117 8.3 15.458 0.150 7.3 ABB 222 534.664838 158.462222 0.7290 0.1460 0.8750
76.02424 25.031273 16.291 0.095 0.096 11.4 15.819 0.136 0.136 7.8 15.404 0.153 7.2 ABB 222 491.088451 190.087581 0.4720 0.4150 0.8870
76.191568 25.025566 14.917 0.041 0.043 41.8 14.37 0.048 0.049 25.8 14.241 0.065 22.4 AAA 222 682.092028 137.614428 0.5470 0.1290 0.6760
75.82353 25.030594 15.008 0.053 0.055 37.1 14.564 0.061 0.061 23.9 14.365 0.072 18.6 AAA 222 885.548022 236.766517 0.4440 0.1990 0.6430
76.15656 25.02943 13.072 0.026 0.029 228.4 12.528 0.032 0.033 140.5 12.333 0.026 129.8 AAA 222 599.62035 144.804582 0.5440 0.1950 0.7390
76.162513 25.027861 16.115 0.083 0.084 13.8 15.316 0.097 0.097 10.8 15.153 0.102 9.7 AAB 222 615.547602 143.629284 0.7990 0.1630 0.9620
76.044098 25.028868 14.161 0.034 0.036 80.9 13.268 0.033 0.034 81.6 12.989 0.024 66.2 AAA 222 492.620873 182.471357 0.8930 0.2790 1.1720
76.15656 25.02943 13.072 0.026 0.029 228.4 12.528 0.032 0.033 140.5 12.333 0.026 129.8 AAA 222 599.62035 144.804582 0.5440 0.1950 0.7390
76.219504 25.028095 14.681 0.040 0.042 51.9 14.163 0.055 0.056 31.2 14.053 0.043 26.6 AAA 222 740.371557 131.916333 0.5180 0.1100 0.6280
76.15656 25.02943 13.072 0.026 0.029 228.4 12.528 0.032 0.033 140.5 12.333 0.026 129.8 AAA 222 599.62035 144.804582 0.5440 0.1950 0.7390
76.167671 25.031523 16.804 0.138 0.139 7.3 16.246 null null null 15.906 0.228 4.8 BUD 202 615.262808 141.639322 - - 0.8980
75.898616 25.02552 15.584 0.056 0.057 21.8 14.785 0.069 0.070 19.5 14.438 0.061 17.4 AAA 222 706.95069 224.534224 0.7990 0.3470 1.1460
75.82353 25.030594 15.008 0.053 0.055 37.1 14.564 0.061 0.061 23.9 14.365 0.072 18.6 AAA 222 885.548022 236.766517 0.4440 0.1990 0.6430
75.834977 25.028267 15.605 0.067 0.069 21.4 15.004 0.083 0.083 15.9 14.857 0.098 11.8 AAA 222 859.392573 234.931801 0.6010 0.1470 0.7480
76.031859 25.032612 14.611 0.036 0.038 53.5 13.733 0.039 0.040 53.2 13.386 0.040 45.9 AAA 222 482.572237 187.281446 0.8780 0.3470 1.2250
76.210552 25.028336 15.682 0.067 0.068 20.6 15.231 0.082 0.083 11.7 14.961 0.116 11.5 AAB 222 718.334212 133.423146 0.4510 0.2700 0.7210
75.878338 25.023911 15.5 0.047 0.049 23.6 15.174 0.080 0.081 13.6 14.968 0.091 10.7 AAA 222 758.647935 227.794868 0.3260 0.2060 0.5320
75.898616 25.02552 15.584 0.056 0.057 21.8 14.785 0.069 0.070 19.5 14.438 0.061 17.4 AAA 222 706.95069 224.534224 0.7990 0.3470 1.1460
75.959368 25.028728 17.149 0.197 0.197 5.2 16.407 0.222 0.222 4.4 15.825 0.226 4.9 CDD 222 575.502791 211.141896 0.7420 0.5820 1.3240
76.263854 25.032801 13.204 0.021 0.024 195.4 12.743 0.030 0.031 115.3 12.559 0.021 105.4 AAA 222 843.668876 124.46668 0.4610 0.1840 0.6450
76.125434 25.030615 13.325 0.028 0.030 180.9 12.705 0.030 0.031 119.4 12.534 0.025 107.8 AAA 222 543.670027 153.32513 0.6200 0.1710 0.7910
76.089089 25.022398 17.229 0.203 0.203 4.8 16.081 0.181 0.181 6.1 15.922 0.244 4.4 DCD 222 530.501307 166.313336 1.1480 0.1590 1.3070
75.913181 25.018351 16.208 0.096 0.097 12.3 15.347 0.102 0.102 11.6 15.076 0.126 9.7 AAB 222 694.03063 220.238567 0.8610 0.2710 1.1320
75.959368 25.028728 17.149 0.197 0.197 5.2 16.407 0.222 0.222 4.4 15.825 0.226 4.9 CDD 222 575.502791 211.141896 0.7420 0.5820 1.3240
75.878338 25.023911 15.5 0.047 0.049 23.6 15.174 0.080 0.081 13.6 14.968 0.091 10.7 AAA 222 758.647935 227.794868 0.3260 0.2060 0.5320
76.167671 25.031523 16.804 0.138 0.139 7.3 16.246 null null null 15.906 0.228 4.8 BUD 202 615.262808 141.639322 - - 0.8980
75.959368 25.028728 17.149 0.197 0.197 5.2 16.407 0.222 0.222 4.4 15.825 0.226 4.9 CDD 222 575.502791 211.141896 0.7420 0.5820 1.3240
76.267889 25.032005 10.544 0.019 0.022 2263.8 9.695 0.031 0.032 1909.5 9.359 0.021 2008.3 AAA 222 856.148813 124.124984 0.8490 0.3360 1.1850
75.854532 25.029102 15.854 0.067 0.069 17.0 15.215 0.083 0.083 13.1 15.445 0.163 6.9 AAC 222 806.238394 232.495578 0.6390 -0.2300 0.4090
76.267889 25.032005 10.544 0.019 0.022 2263.8 9.695 0.031 0.032 1909.5 9.359 0.021 2008.3 AAA 222 856.148813 124.124984 0.8490 0.3360 1.1850
75.811386 25.024529 16.729 0.137 0.137 7.6 16.035 0.164 0.164 6.2 15.579 null null BCU 220 930.649277 236.983545 0.6940 - -
76.267889 25.032005 10.544 0.019 0.022 2263.8 9.695 0.031 0.032 1909.5 9.359 0.021 2008.3 AAA 222 856.148813 124.124984 0.8490 0.3360 1.1850
75.9348 25.029354 16.525 0.114 0.114 9.2 15.995 0.167 0.167 6.4 15.722 0.200 5.3 BCC 222 618.912236 217.616115 0.5300 0.2730 0.8030
76.280076 25.025541 16.554 0.125 0.126 8.9 16.325 null null null 15.557 null null BUU 200 902.112211 123.927203 - - -
76.057489 25.026707 16.222 0.095 0.096 12.1 15.652 0.120 0.121 9.1 15.464 0.157 6.8 ABC 222 500.445556 177.430072 0.5700 0.1880 0.7580
75.817837 25.028837 16.856 0.159 0.160 6.8 16.078 0.196 0.196 5.9 15.457 0.162 6.8 CCC 222 904.552445 237.0781 0.7780 0.6210 1.3990
76.280076 25.025541 16.554 0.125 0.126 8.9 16.325 null null null 15.557 null null BUU 200 902.112211 123.927203 - - -
75.983265 25.027695 14.506 0.037 0.039 58.9 13.562 0.035 0.036 62.2 13.277 0.027 50.8 AAA 222 542.773393 203.87433 0.9440 0.2850 1.2290
76.074007 25.02434 17.122 0.201 0.201 5.3 16.186 0.196 0.196 5.5 15.257 0.123 8.2 CCB 222 514.153713 171.463292 0.9360 0.9290 1.8650
75.921073 25.040823 16.384 0.098 0.099 10.4 15.668 0.130 0.130 8.6 15.528 0.172 6.4 ABC 222 616.472678 223.263344 0.7160 0.1400 0.8560
76.267889 25.032005 10.544 0.019 0.022 2263.8 9.695 0.031 0.032 1909.5 9.359 0.021 2008.3 AAA 222 856.148813 124.124984 0.8490 0.3360 1.1850
75.82353 25.030594 15.008 0.053 0.055 37.1 14.564 0.061 0.061 23.9 14.365 0.072 18.6 AAA 222 885.548022 236.766517 0.4440 0.1990 0.6430
76.125434 25.030615 13.325 0.028 0.030 180.9 12.705 0.030 0.031 119.4 12.534 0.025 107.8 AAA 222 543.670027 153.32513 0.6200 0.1710 0.7910
75.865909 25.027077 15.489 0.055 0.056 23.8 14.645 0.057 0.058 22.2 14.399 0.061 18.1 AAA 222 781.792542 230.412817 0.8440 0.2460 1.0900
76.267889 25.032005 10.544 0.019 0.022 2263.8 9.695 0.031 0.032 1909.5 9.359 0.021 2008.3 AAA 222 856.148813 124.124984 0.8490 0.3360 1.1850
76.02424 25.031273 16.291 0.095 0.096 11.4 15.819 0.136 0.136 7.8 15.404 0.153 7.2 ABB 222 491.088451 190.087581 0.4720 0.4150 0.8870
76.082473 25.030495 16.343 0.095 0.096 10.8 15.544 0.102 0.102 10.0 15.363 0.135 7.4 AAB 222 497.27644 167.93587 0.7990 0.1810 0.9800
76.135874 25.038557 16.362 0.099 0.099 11.0 15.88 0.158 0.158 6.4 15.675 0.177 6.0 ACC 222 535.134813 148.688518 0.4820 0.2050 0.6870
76.082473 25.030495 16.343 0.095 0.096 10.8 15.544 0.102 0.102 10.0 15.363 0.135 7.4 AAB 222 497.27644 167.93587 0.7990 0.1810 0.9800
76.267889 25.032005 10.544 0.019 0.022 2263.8 9.695 0.031 0.032 1909.5 9.359 0.021 2008.3 AAA 222 856.148813 124.124984 0.8490 0.3360 1.1850
75.82353 25.030594 15.008 0.053 0.055 37.1 14.564 0.061 0.061 23.9 14.365 0.072 18.6 AAA 222 885.548022 236.766517 0.4440 0.1990 0.6430
75.975445 25.031094 16.165 0.082 0.083 12.8 15.4 0.102 0.102 11.4 15.324 0.134 7.7 AAB 222 542.630399 206.861495 0.7650 0.0760 0.8410
76.057489 25.026707 16.222 0.095 0.096 12.1 15.652 0.120 0.121 9.1 15.464 0.157 6.8 ABC 222 500.445556 177.430072 0.5700 0.1880 0.7580
75.975445 25.031094 16.165 0.082 0.083 12.8 15.4 0.102 0.102 11.4 15.324 0.134 7.7 AAB 222 542.630399 206.861495 0.7650 0.0760 0.8410
75.878338 25.023911 15.5 0.047 0.049 23.6 15.174 0.080 0.081 13.6 14.968 0.091 10.7 AAA 222 758.647935 227.794868 0.3260 0.2060 0.5320
76.110783 25.02742 16.333 0.103 0.103 11.3 15.604 0.117 0.117 8.3 15.458 0.150 7.3 ABB 222 534.664838 158.462222 0.7290 0.1460 0.8750
76.02424 25.031273 16.291 0.095 0.096 11.4 15.819 0.136 0.136 7.8 15.404 0.153 7.2 ABB 222 491.088451 190.087581 0.4720 0.4150 0.8870
76.020091 25.035826 15.711 0.066 0.067 19.4 14.845 0.059 0.060 19.1 14.628 0.074 14.6 AAA 222 477.592585 192.030484 0.8660 0.2170 1.0830
75.865909 25.027077 15.489 0.055 0.056 23.8 14.645 0.057 0.058 22.2 14.399 0.061 18.1 AAA 222 781.792542 230.412817 0.8440 0.2460 1.0900
76.162513 25.027861 16.115 0.083 0.084 13.8 15.316 0.097 0.097 10.8 15.153 0.102 9.7 AAB 222 615.547602 143.629284 0.7990 0.1630 0.9620
76.097691 25.021688 14.852 0.037 0.039 44.3 14.189 0.041 0.042 30.4 13.939 0.038 29.6 AAA 222 540.274079 163.484685 0.6630 0.2500 0.9130
76.220292 25.036198 16.622 0.120 0.120 8.7 15.665 0.148 0.148 7.8 15.354 0.135 8.0 BBB 222 723.14621 130.061862 0.9570 0.3110 1.2680
76.267889 25.032005 10.544 0.019 0.022 2263.8 9.695 0.031 0.032 1909.5 9.359 0.021 2008.3 AAA 222 856.148813 124.124984 0.8490 0.3360 1.1850
76.125434 25.030615 13.325 0.028 0.030 180.9 12.705 0.030 0.031 119.4 12.534 0.025 107.8 AAA 222 543.670027 153.32513 0.6200 0.1710 0.7910
76.031859 25.032612 14.611 0.036 0.038 53.5 13.733 0.039 0.040 53.2 13.386 0.040 45.9 AAA 222 482.572237 187.281446 0.8780 0.3470 1.2250
76.167671 25.031523 16.804 0.138 0.139 7.3 16.246 null null null 15.906 0.228 4.8 BUD 202 615.262808 141.639322 - - 0.8980
76.110783 25.02742 16.333 0.103 0.103 11.3 15.604 0.117 0.117 8.3 15.458 0.150 7.3 ABB 222 534.664838 158.462222 0.7290 0.1460 0.8750
75.82353 25.030594 15.008 0.053 0.055 37.1 14.564 0.061 0.061 23.9 14.365 0.072 18.6 AAA 222 885.548022 236.766517 0.4440 0.1990 0.6430
75.854532 25.029102 15.854 0.067 0.069 17.0 15.215 0.083 0.083 13.1 15.445 0.163 6.9 AAC 222 806.238394 232.495578 0.6390 -0.2300 0.4090
76.064308 25.032278 16.576 0.133 0.134 8.8 15.758 0.143 0.143 8.2 15.758 0.206 5.2 BBC 222 481.960505 174.680671 0.8180 0.0000 0.8180
76.06719 25.031984 15.978 0.080 0.081 15.2 15.377 0.093 0.094 11.7 15.234 0.140 8.4 AAB 222 483.97345 173.584078 0.6010 0.1430 0.7440
75.925733 25.038521 15.099 0.042 0.044 34.1 14.375 0.052 0.053 28.4 14.282 0.055 20.1 AAA 222 612.335596 221.695666 0.7240 0.0930 0.8170
76.270127 25.031708 16.668 0.235 0.235 8.0 14.321 null null null 14.251 null null DUU 200 862.792541 123.911087 - - -
75.983265 25.027695 14.506 0.037 0.039 58.9 13.562 0.035 0.036 62.2 13.277 0.027 50.8 AAA 222 542.773393 203.87433 0.9440 0.2850 1.2290
76.285056 25.035936 13.157 0.024 0.027 204.0 12.811 0.035 0.036 108.3 12.666 0.026 95.5 AAA 222 895.5337 121.360468 0.3460 0.1450 0.4910
76.06719 25.031984 15.978 0.080 0.081 15.2 15.377 0.093 0.094 11.7 15.234 0.140 8.4 AAB 222 483.97345 173.584078 0.6010 0.1430 0.7440
76.15656 25.02943 13.072 0.026 0.029 228.4 12.528 0.032 0.033 140.5 12.333 0.026 129.8 AAA 222 599.62035 144.804582 0.5440 0.1950 0.7390
76.15656 25.02943 13.072 0.026 0.029 228.4 12.528 0.032 0.033 140.5 12.333 0.026 129.8 AAA 222 599.62035 144.804582 0.5440 0.1950 0.7390
76.110783 25.02742 16.333 0.103 0.103 11.3 15.604 0.117 0.117 8.3 15.458 0.150 7.3 ABB 222 534.664838 158.462222 0.7290 0.1460 0.8750
75.9348 25.029354 16.525 0.114 0.114 9.2 15.995 0.167 0.167 6.4 15.722 0.200 5.3 BCC 222 618.912236 217.616115 0.5300 0.2730 0.8030
76.21642 25.032822 16.92 0.142 0.143 6.6 16.121 0.204 0.204 5.1 16.222 null null CCU 220 721.534606 131.446296 0.7990 - -
76.178584 25.035313 16.463 0.099 0.099 10.1 15.74 0.148 0.148 7.3 15.417 0.150 7.6 ABB 222 627.678388 138.315733 0.7230 0.3230 1.0460
76.082473 25.030495 16.343 0.095 0.096 10.8 15.544 0.102 0.102 10.0 15.363 0.135 7.4 AAB 222 497.27644 167.93587 0.7990 0.1810 0.9800
76.167671 25.031523 16.804 0.138 0.139 7.3 16.246 null null null 15.906 0.228 4.8 BUD 202 615.262808 141.639322 - - 0.8980
75.9348 25.029354 16.525 0.114 0.114 9.2 15.995 0.167 0.167 6.4 15.722 0.200 5.3 BCC 222 618.912236 217.616115 0.5300 0.2730 0.8030
76.200199 25.032839 17.434 0.240 0.240 4.1 16.245 0.213 0.213 4.6 15.836 0.196 5.2 DDC 222 682.773524 134.386563 1.1890 0.4090 1.5980
76.191568 25.025566 14.917 0.041 0.043 41.8 14.37 0.048 0.049 25.8 14.241 0.065 22.4 AAA 222 682.092028 137.614428 0.5470 0.1290 0.6760
76.21642 25.032822 16.92 0.142 0.143 6.6 16.121 0.204 0.204 5.1 16.222 null null CCU 220 721.534606 131.446296 0.7990 - -
76.270127 25.031708 16.668 0.235 0.235 8.0 14.321 null null null 14.251 null null DUU 200 862.792541 123.911087 - - -
75.817837 25.028837 16.856 0.159 0.160 6.8 16.078 0.196 0.196 5.9 15.457 0.162 6.8 CCC 222 904.552445 237.0781 0.7780 0.6210 1.3990
75.998278 25.027084 16.643 0.122 0.122 8.2 16.111 0.164 0.164 6.0 15.795 0.205 5.0 BCD 222 526.968049 198.901427 0.5320 0.3160 0.8480
76.06719 25.031984 15.978 0.080 0.081 15.2 15.377 0.093 0.094 11.7 15.234 0.140 8.4 AAB 222 483.97345 173.584078 0.6010 0.1430 0.7440
76.06719 25.031984 15.978 0.080 0.081 15.2 15.377 0.093 0.094 11.7 15.234 0.140 8.4 AAB 222 483.97345 173.584078 0.6010 0.1430 0.7440
76.087466 25.028418 13.564 0.028 0.030 140.2 12.918 0.035 0.036 112.6 12.722 0.022 84.7 AAA 222 508.192016 166.315851 0.6460 0.1960 0.8420
76.267889 25.032005 10.544 0.019 0.022 2263.8 9.695 0.031 0.032 1909.5 9.359 0.021 2008.3 AAA 222 856.148813 124.124984 0.8490 0.3360 1.1850
75.82353 25.030594 15.008 0.053 0.055 37.1 14.564 0.061 0.061 23.9 14.365 0.072 18.6 AAA 222 885.548022 236.766517 0.4440 0.1990 0.6430
76.135874 25.038557 16.362 0.099 0.099 11.0 15.88 0.158 0.158 6.4 15.675 0.177 6.0 ACC 222 535.134813 148.688518 0.4820 0.2050 0.6870
76.135874 25.038557 16.362 0.099 0.099 11.0 15.88 0.158 0.158 6.4 15.675 0.177 6.0 ACC 222 535.134813 148.688518 0.4820 0.2050 0.6870
76.285056 25.035936 13.157 0.024 0.027 204.0 12.811 0.035 0.036 108.3 12.666 0.026 95.5 AAA 222 895.5337 121.360468 0.3460 0.1450 0.4910
76.21642 25.032822 16.92 0.142 0.143 6.6 16.121 0.204 0.204 5.1 16.222 null null CCU 220 721.534606 131.446296 0.7990 - -
75.876986 25.039085 15.688 0.067 0.069 19.8 15.168 0.082 0.082 13.7 14.915 0.089 11.2 AAA 222 726.458379 231.218607 0.5200 0.2530 0.7730
76.005581 25.033979 10.893 0.028 0.030 1641.5 10.422 0.035 0.036 1122.3 10.243 0.024 830.3 AAA 222 495.985159 197.225293 0.4710 0.1790 0.6500
76.005581 25.033979 10.893 0.028 0.030 1641.5 10.422 0.035 0.036 1122.3 10.243 0.024 830.3 AAA 222 495.985159 197.225293 0.4710 0.1790 0.6500
76.110783 25.02742 16.333 0.103 0.103 11.3 15.604 0.117 0.117 8.3 15.458 0.150 7.3 ABB 222 534.664838 158.462222 0.7290 0.1460 0.8750
75.8342 25.035185 14.766 0.035 0.037 46.4 14.155 0.048 0.048 34.8 14.072 0.044 24.4 AAA 222 847.403947 236.407317 0.6110 0.0830 0.6940
76.031859 25.032612 14.611 0.036 0.038 53.5 13.733 0.039 0.040 53.2 13.386 0.040 45.9 AAA 222 482.572237 187.281446 0.8780 0.3470 1.2250
76.178584 25.035313 16.463 0.099 0.099 10.1 15.74 0.148 0.148 7.3 15.417 0.150 7.6 ABB 222 627.678388 138.315733 0.7230 0.3230 1.0460
76.178584 25.035313 16.463 0.099 0.099 10.1 15.74 0.148 0.148 7.3 15.417 0.150 7.6 ABB 222 627.678388 138.315733 0.7230 0.3230 1.0460
75.8342 25.035185 14.766 0.035 0.037 46.4 14.155 0.048 0.048 34.8 14.072 0.044 24.4 AAA 222 847.403947 236.407317 0.6110 0.0830 0.6940
75.851327 25.038691 14.218 0.028 0.030 76.8 13.716 0.035 0.036 52.2 13.605 0.037 37.5 AAA 222 794.182169 234.929839 0.5020 0.1110 0.6130
75.921073 25.040823 16.384 0.098 0.099 10.4 15.668 0.130 0.130 8.6 15.528 0.172 6.4 ABC 222 616.472678 223.263344 0.7160 0.1400 0.8560
76.21642 25.032822 16.92 0.142 0.143 6.6 16.121 0.204 0.204 5.1 16.222 null null CCU 220 721.534606 131.446296 0.7990 - -
76.044098 25.028868 14.161 0.034 0.036 80.9 13.268 0.033 0.034 81.6 12.989 0.024 66.2 AAA 222 492.620873 182.471357 0.8930 0.2790 1.1720
76.082473 25.030495 16.343 0.095 0.096 10.8 15.544 0.102 0.102 10.0 15.363 0.135 7.4 AAB 222 497.27644 167.93587 0.7990 0.1810 0.9800
75.8342 25.035185 14.766 0.035 0.037 46.4 14.155 0.048 0.048 34.8 14.072 0.044 24.4 AAA 222 847.403947 236.407317 0.6110 0.0830 0.6940
75.876986 25.039085 15.688 0.067 0.069 19.8 15.168 0.082 0.082 13.7 14.915 0.089 11.2 AAA 222 726.458379 231.218607 0.5200 0.2530 0.7730
76.270127 25.031708 16.668 0.235 0.235 8.0 14.321 null null null 14.251 null null DUU 200 862.792541 123.911087 - - -
76.020091 25.035826 15.711 0.066 0.067 19.4 14.845 0.059 0.060 19.1 14.628 0.074 14.6 AAA 222 477.592585 192.030484 0.8660 0.2170 1.0830
75.82353 25.030594 15.008 0.053 0.055 37.1 14.564 0.061 0.061 23.9 14.365 0.072 18.6 AAA 222 885.548022 236.766517 0.4440 0.1990 0.6430
76.058731 25.036501 12.174 0.025 0.027 504.5 11.637 0.033 0.034 366.5 11.452 0.018 272.7 AAA 222 465.437962 176.73747 0.5370 0.1850 0.7220
76.21642 25.032822 16.92 0.142 0.143 6.6 16.121 0.204 0.204 5.1 16.222 null null CCU 220 721.534606 131.446296 0.7990 - -
76.135874 25.038557 16.362 0.099 0.099 11.0 15.88 0.158 0.158 6.4 15.675 0.177 6.0 ACC 222 535.134813 148.688518 0.4820 0.2050 0.6870
75.935908 25.036409 16.937 0.168 0.169 6.3 16.129 0.186 0.186 5.7 15.774 0.206 5.1 CCC 222 596.71078 218.827997 0.8080 0.3550 1.1630
75.828324 25.036673 15.576 0.050 0.051 22.0 14.873 0.073 0.073 18.0 14.734 0.087 13.3 AAA 222 860.513076 237.411951 0.7030 0.1390 0.8420
76.285056 25.035936 13.157 0.024 0.027 204.0 12.811 0.035 0.036 108.3 12.666 0.026 95.5 AAA 222 895.5337 121.360468 0.3460 0.1450 0.4910
76.010303 25.040947 14.436 0.023 0.026 62.8 13.762 0.032 0.033 51.8 13.617 0.033 37.1 AAA 222 467.523703 196.331652 0.6740 0.1450 0.8190
75.889061 25.046158 16.192 0.086 0.087 12.5 15.388 0.105 0.105 11.2 15.465 0.147 6.8 AAC 222 679.832156 230.807617 0.8040 -0.0770 0.7270
75.921073 25.040823 16.384 0.098 0.099 10.4 15.668 0.130 0.130 8.6 15.528 0.172 6.4 ABC 222 616.472678 223.263344 0.7160 0.1400 0.8560
