radius wavgoffset meanoffset varoffset wavg mean
5 0.612491703474 -0.97300039852 2.29861868285 14.7117993006 16.6469168517
10 0.913911936333 -0.708490990606 2.25977729571 14.3481776831 16.3824074438
15 1.04881584657 -0.630397096499 2.27549108944 14.2580061489 16.3043135497
18 1.14383338507 -0.597690492457 2.26581341633 14.2305919983 16.2716069456
20 1.14670197325 -0.58901518645 3.29042218948 14.2165368946 16.2629316396
22 1.21688967201 -0.592321833191 5.2735078179 14.2055530167 16.2662382864
24 1.38049523843 -0.584593751779 6.44926862737 14.1984202026 16.258510205
28 1.42652770736 -0.558873099915 7.44278964908 14.1884191843 16.2327895531
