radius wavgoffset meanoffset varoffset wavg mean
5 0.891882163232 -1.15715404455 2.50971619475 14.2239866141 16.8304296405
10 1.22070463491 -0.894269118796 2.47793502058 13.7860305234 16.5675447147
15 1.34539518856 -0.808863696757 2.45041506591 13.677971574 16.4821392927
18 1.43281386256 -0.770364546698 2.47415441366 13.6356412443 16.4436401426
20 1.52885128838 -0.746271961704 2.44497290847 13.6136993032 16.4195475576
22 1.65470405031 -0.722478878468 2.54454446981 13.6103570907 16.3957544744
24 1.83095762841 -0.698652237202 2.58175856307 13.5928089077 16.3719278331
28 2.02867458261 -0.658270144588 3.23530353567 13.5912219989 16.3315457405
