radius wavgoffset meanoffset varoffset wavg mean
5 -0.399009962467 -2.27953962975 2.60609395751 15.8127273398 17.9366612582
10 -0.0786490933505 -2.01079240241 2.57743930583 15.3989808895 17.6679140308
15 0.0411629507665 -1.93212703971 2.54496756493 15.2907984719 17.5892486681
18 0.104024999834 -1.90401901491 3.13534555494 15.2585140762 17.5611406433
20 0.152113305908 -1.88197143575 3.13658874942 15.2437511946 17.5390930642
22 0.204760203605 -1.87279886078 4.25830691423 15.2327553233 17.5299204892
24 0.285156263747 -1.85001328531 4.28497787257 15.2250338025 17.5071349137
28 0.399997981737 -1.81641769141 5.31196262182 15.2157773097 17.4735393198
