radius wavgoffset meanoffset varoffset wavg mean
5 -0.545874196561 -2.37469260062 3.62608701735 15.7925614711 17.8824960062
10 -0.319942030263 -2.11374804954 3.56718085219 15.3897282417 17.6215514551
15 -0.347468559157 -2.03906804954 3.47716307691 15.231165537 17.5468714551
18 -0.350220139119 -2.01182263158 3.45290808247 15.1701166812 17.5196260372
20 -0.361145165443 -1.99724074303 3.46914067201 15.1686601759 17.5050441486
22 -0.205125310387 -1.98491873065 3.5814663756 15.1444174813 17.4927221362
24 -0.247342672542 -1.97342557276 3.51626531333 15.1217632316 17.4812289783
28 -0.139639691619 -1.99932674923 7.58631623385 15.0842080339 17.5071301548
