radius wavgoffset meanoffset varoffset wavg mean
5 0.363493721983 -1.62713786712 3.54573675296 14.358299002 17.1400198175
10 0.572346032562 -1.37809001996 3.48290651144 14.0100179282 16.8909719703
15 0.816748450115 -1.30083501568 3.48729017032 13.9041420543 16.8137169661
18 0.867528391203 -1.27161083547 3.47220140788 13.8789873344 16.7844927859
20 0.904700123957 -1.25514530938 3.45956553182 13.8612232377 16.7680272598
22 1.0526662399 -1.24117351012 3.50663847465 13.8416491138 16.7540554605
24 1.19770539466 -1.27386469917 7.17959244837 13.8228161491 16.7867466496
28 1.25114564588 -1.34031268891 15.1039594423 13.7961781174 16.8531946393
