radius wavgoffset meanoffset varoffset wavg mean
5 0.571246851034 -1.13226388802 3.38565192005 14.321220466 16.6554976093
10 0.752657690878 -0.884260239069 3.31693141913 13.9514912438 16.4074939604
15 0.832949940907 -0.806657565272 3.25882199151 13.8467142202 16.3298912866
18 1.05793652587 -0.776993394149 3.3665655242 13.7924090243 16.3002271154
20 1.01137899101 -0.760121767852 3.33403089324 13.7720608399 16.2833554891
22 1.23014098035 -0.745260239069 3.38282651183 13.7631379506 16.2684939604
24 1.38445373241 -0.754959547027 5.46132314979 13.7418915604 16.2781932683
28 1.41408134655 -0.753783642655 7.61394993084 13.7170689898 16.277017364
