radius wavgoffset meanoffset varoffset wavg mean
5 0.946911015286 -0.69254258109 2.89005444492 14.4917434947 16.632520842
10 0.968495303194 -0.503544271912 2.81944991986 14.1555107984 16.4435225328
15 0.843577206555 -0.436915873016 2.8358446723 13.9481197056 16.3768941339
18 1.45040434275 -0.40816036922 2.86329794205 13.8588034127 16.3481386301
20 1.41466483312 -0.391111335404 2.84964257191 13.7960206238 16.3310895963
22 1.52735812252 -0.375155331263 2.90998310222 13.7383002326 16.3151335921
24 1.9815329677 -0.373613164251 4.08809151854 13.8112695938 16.3135914251
28 2.07727854371 -0.343556625259 4.13878522303 13.7202601222 16.2835348861
