radius wavgoffset meanoffset varoffset wavg mean
5 -0.230114401914 -1.90132214351 3.01057488919 15.8172697995 17.8292680109
9 -0.0371243590336 -1.71302788374 2.96820570786 15.5092295177 17.6409737511
15 0.191625499539 -1.62857049955 3.03160195865 15.3580620595 17.5565163669
18 0.208941973377 -1.6033337148 2.99915499958 15.3172320274 17.5312795822
20 0.128287637611 -1.58906417802 2.96391315543 15.2969001448 17.5170100454
22 0.397658667116 -1.57618377838 2.99486534474 15.2849623426 17.5041296458
24 0.419986377941 -1.56404762943 2.98098524593 15.2677463839 17.4919934968
28 0.615481697793 -1.54075865577 3.04892363281 15.2509357438 17.4687045232
