radius wavgoffset meanoffset varoffset wavg mean
5 0.719024100835 -1.23017275371 2.95427748263 14.6000401902 17.1832358182
10 0.930824351936 -1.03007332007 2.90201000802 14.2920234514 16.9831363845
15 1.13342372902 -0.96213707332 2.93834068423 14.1859375207 16.9152001378
18 1.22285941207 -0.945072126129 3.94286292635 14.1693885017 16.8981351906
20 1.20983842801 -0.927838894842 3.9684997472 14.1478424976 16.8809019593
22 1.33578965233 -0.912042338895 3.91159837755 14.1395866265 16.8651054033
24 1.42360143788 -0.909150604623 5.04743396088 14.1340551341 16.8622136691
28 1.66710385404 -0.86756139599 4.02978022742 14.1202789833 16.8206244604
